label,recon_error
phase_drift_attack,2.101888
combined_attack,1.9072522
synchronization_jitter_attack,1.8975486
detector_blinding_attack,1.6183505
reference_light_tamper,1.4895637
wavelength_switching_attack,1.4077904
asymmetric_loss_attack,0.9239215
normal,0.873548
