model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.7010416666666667,0.7404785838011314,0.7010416666666666,0.6875006078598032,0.9475186011904762,,
lstm,0.759375,0.7588002003126832,0.7593749999999999,0.7411336406517974,0.9602703373015873,,
transformer,0.9208333333333333,0.9239760380672266,0.9208333333333334,0.9194723079867775,0.9909598214285715,,
autoencoder,0.29270833333333335,0.5489209256012295,0.5672619047619047,0.2902060323340422,,0.7421924603174602,0.9423793207970117
