model,task,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,threshold,roc_auc,average_precision
qlstm,multiclass,0.4693181818181818,0.5859628597967297,0.7648148148148147,0.6222025154852754,0.9500421359812555,,,
lstm,multiclass,0.46875,0.5936004954810152,0.7638888888888888,0.6237251097064644,0.9515835203534326,,,
transformer,multiclass,0.4818181818181818,0.6188689049784651,0.7851851851851852,0.6518770141516964,0.9506057404584463,,,
autoencoder,one_class,0.4721590909090909,0.5539961568857135,0.7051829268292683,0.40352934180799516,,1.2701244354248047,0.874395325203252,0.9884245044557634
