model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.84375,0.842627265263213,0.84375,0.842806124774589,0.9784362599206349,,
lstm,0.8614583333333333,0.8627100840336135,0.8614583333333333,0.8591873638552165,0.9806349206349206,,
transformer,0.9729166666666667,0.9745622481570038,0.9729166666666667,0.973107812631707,0.9991654265873016,,
autoencoder,0.30625,0.5575143785946487,0.5821428571428571,0.30295537501471803,,0.759186507936508,0.9468864014067744
