label,recon_error
synchronization_jitter_attack,1.1938463
wavelength_switching_attack,0.89949155
combined_attack,0.8977334
detector_blinding_attack,0.7948937
reference_light_tamper,0.73673636
phase_drift_attack,0.7203453
normal,0.41177365
asymmetric_loss_attack,0.40837175
