model,task,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,threshold,roc_auc,average_precision
qlstm,multiclass,0.8697916666666666,0.8712199666706768,0.8697916666666667,0.8597429205015981,0.9825210813492062,,,
lstm,multiclass,0.8645833333333334,0.8640423061096751,0.8645833333333334,0.8642633467849562,0.981531498015873,,,
transformer,multiclass,0.8822916666666667,0.8823039706373039,0.8822916666666667,0.8772908131315147,0.9821887400793651,,,
autoencoder,one_class,0.2708333333333333,0.5508077123501823,0.5619047619047619,0.2700222469410456,,1.2027992010116577,0.8321230158730158,0.9608185352306404
