model,task,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,threshold,roc_auc,average_precision
qlstm,multiclass,0.8729166666666667,0.8719643024757209,0.8729166666666667,0.869699733226561,0.9816641865079365,,,
lstm,multiclass,0.8729166666666667,0.8694840129306242,0.8729166666666667,0.8590595952524386,0.9808531746031746,,,
transformer,multiclass,1.0,1.0,1.0,1.0,1.0,,,
autoencoder,one_class,0.2520833333333333,0.55859375,0.5619047619047619,0.2520313910688242,,1.3652304410934448,0.8538095238095238,0.9693875943042317
