model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.7177083333333333,0.7748780807969393,0.7177083333333334,0.7356170675277875,0.9586011904761905,,
lstm,0.7572916666666667,0.7605509025481257,0.7572916666666667,0.7459768538567952,0.9565612599206349,,
transformer,0.8208333333333333,0.8796685806890514,0.8208333333333333,0.8310986835539335,0.9881063988095238,,
autoencoder,0.225,0.5437453051124563,0.5392857142857143,0.2248351428906321,,0.734781746031746,0.9367594489831143
