label,recon_error
combined_attack,1.626841
synchronization_jitter_attack,1.6251074
phase_drift_attack,1.574077
detector_blinding_attack,1.4732625
wavelength_switching_attack,1.4426829
reference_light_tamper,1.391104
asymmetric_loss_attack,0.96280587
normal,0.7859528
