model,accuracy,precision_macro,recall_macro,f1_macro,roc_auc_ovr_macro,roc_auc,average_precision
qlstm,0.4005681818181818,0.5292239368354097,0.6527777777777778,0.542461619057205,,,
lstm,0.4284090909090909,0.5209858398587103,0.6981481481481482,0.5575456613548924,,,
transformer,0.47613636363636364,0.6620729748118432,0.775925925925926,0.6615396759822119,,,
autoencoder,0.4369318181818182,0.5451265149174306,0.6669715447154472,0.3772136079198022,,0.824375,0.9823669030039102
